Date,LastTradePrice,Max,Min,AvgPrice,Volume
2014-12-30,176.79,180.36,171.09,175.73,6664
2014-12-31,160.52,161.79,160.26,161.02,1880
2015-01-01,194.36,203.98,187.07,195.52,9906
2015-01-02,101.98,108.54,96.87,102.71,5756
2015-01-05,184.52,188.79,176.35,182.57,7736
2015-01-06,154.47,157.44,151.85,154.64,5457
2015-01-07,172.67,181.79,170.6,176.19,8413
2015-01-08,155.01,155.18,148.58,151.88,7459
2015-01-09,143.88,152.85,134.7,143.77,5838
2015-01-12,177.84,179.06,177.27,178.17,1479
2015-01-13,110.68,111.4,104.77,108.09,4523
2015-01-14,154.16,156.69,152.54,154.62,7172
2015-01-15,138.24,147.66,131.86,139.76,4118
2015-01-16,188.59,193.92,180.86,187.39,7819
2015-01-19,148.88,154.59,147.13,150.86,7439
2015-01-20,135.89,136.66,130.74,133.7,9816
2015-01-21,159.53,165.99,149.89,157.94,8138
2015-01-22,139.33,139.66,131.93,135.8,2990
2015-01-23,156.68,158.6,155.87,157.24,7152
2015-01-26,125.39,128.24,117.19,122.72,1926
2015-01-27,182.72,188.15,173.07,180.61,2762
2015-01-28,119.35,124.84,117.01,120.93,1515
2015-01-29,161.46,163.8,159.5,161.65,2979
2015-01-30,158.33,167.31,154.64,160.97,6896
2015-02-02,145.05,150.84,140.67,145.75,4145
2015-02-03,166.74,174.19,158.44,166.31,3665
2015-02-04,115.06,117.75,108.71,113.23,5963
2015-02-05,150.85,157.43,141.18,149.31,1065
2015-02-06,148.46,151.52,141.91,146.72,7296
2015-02-09,125.64,134.12,117.9,126.01,6698
2015-02-10,142.37,146.08,140.9,143.49,6252
2015-02-11,171.28,172.05,169.16,170.61,5148
2015-02-12,123.55,131.85,115.78,123.81,5716
2015-02-13,168.18,177.99,164.4,171.19,4310
2015-02-16,153.55,156.08,146.13,151.11,3025
2015-02-17,145.24,147.01,140.32,143.66,8215
2015-02-18,185.79,194.72,177.79,186.25,1946
2015-02-19,173.7,176.09,172.21,174.15,8952
2015-02-20,105.39,109.81,98.7,104.25,5389
2015-02-23,179.92,181.3,178.57,179.94,9714
2015-02-24,133.9,140.92,130.37,135.64,2858
2015-02-25,184.11,184.51,179.77,182.14,3970
2015-02-26,175.02,185.0,167.33,176.17,7139
2015-02-27,120.2,122.86,118.91,120.88,2645
2015-03-02,188.4,191.93,181.38,186.66,3560
2015-03-03,165.79,165.86,161.04,163.45,7550
2015-03-04,125.87,134.44,119.32,126.88,6711
2015-03-05,130.54,135.43,127.01,131.22,2026
2015-03-06,154.24,160.86,148.98,154.92,2477
2015-03-09,180.87,190.79,172.82,181.81,5672
2015-03-10,153.74,160.38,148.25,154.31,7408
2015-03-11,181.74,191.38,172.04,181.71,3398
2015-03-12,105.44,112.22,105.3,108.76,4425
2015-03-13,105.14,105.38,100.12,102.75,7704
2015-03-16,198.31,200.19,194.69,197.44,6527
2015-03-17,177.73,179.13,176.97,178.05,7927
2015-03-18,140.32,145.74,137.28,141.51,2638
2015-03-19,192.26,201.61,187.05,194.33,6519
2015-03-20,154.02,162.18,153.56,157.87,1752
2015-03-23,104.82,113.9,103.58,108.74,3859
2015-03-24,100.79,103.57,92.48,98.03,6853
2015-03-25,170.77,174.64,167.56,171.1,1574
2015-03-26,115.77,120.59,106.66,113.62,2193
2015-03-27,142.37,145.69,136.18,140.94,2613
2015-03-30,159.16,164.76,152.66,158.71,2474
2015-03-31,171.45,178.75,166.87,172.81,5439
2015-04-01,105.93,106.51,104.45,105.48,1237
2015-04-02,139.23,146.33,138.52,142.43,4416
2015-04-03,132.49,140.1,122.7,131.4,8623
2015-04-06,162.63,165.56,161.29,163.43,9224
2015-04-07,173.7,176.65,168.74,172.69,9879
2015-04-08,158.0,161.9,154.95,158.43,6848
2015-04-09,118.56,125.03,113.75,119.39,3981
2015-04-10,197.73,202.08,195.17,198.62,9602
2015-04-13,183.74,191.3,182.13,186.72,6192
2015-04-14,153.77,154.65,149.47,152.06,9775
2015-04-15,131.11,138.67,125.38,132.02,1580
2015-04-16,106.51,111.85,99.2,105.53,7487
2015-04-17,144.97,153.34,137.33,145.34,8598
2015-04-20,114.57,119.61,113.07,116.34,2306
2015-04-21,153.26,158.36,145.71,152.04,2529
2015-04-22,109.4,109.66,105.12,107.39,1797
2015-04-23,151.66,159.06,150.2,154.63,6682
2015-04-24,179.26,189.11,176.9,183.0,8694
2015-04-27,100.89,103.61,92.86,98.23,5360
2015-04-28,186.47,191.39,181.66,186.52,4142
2015-04-29,152.38,154.08,144.81,149.44,9369
2015-04-30,162.95,167.68,156.26,161.97,4791
2015-05-01,143.55,150.49,139.24,144.87,4611
2015-05-04,181.92,183.3,179.52,181.41,8740
2015-05-05,146.97,149.01,145.37,147.19,7954
2015-05-06,163.24,169.77,160.04,164.91,5337
2015-05-07,192.33,195.03,188.77,191.9,3426
2015-05-08,160.11,162.4,151.07,156.74,7147
2015-05-11,138.74,141.87,135.71,138.79,3853
2015-05-12,112.84,114.64,111.19,112.91,8464
2015-05-13,112.96,114.95,103.66,109.31,2237
2015-05-14,153.94,159.28,152.15,155.72,2471
2015-05-15,126.68,135.01,118.63,126.82,6395
2015-05-18,148.34,150.35,139.34,144.84,5135
2015-05-19,184.1,185.93,179.11,182.52,6024
2015-05-20,104.46,106.37,101.21,103.79,9750
2015-05-21,153.16,158.01,146.38,152.19,8770
2015-05-22,175.39,175.89,174.33,175.11,5743
2015-05-25,121.83,125.49,114.89,120.19,7531
2015-05-26,157.19,164.4,149.43,156.92,9110
2015-05-27,105.3,108.53,104.62,106.58,3848
2015-05-28,114.69,116.51,110.97,113.74,3070
2015-05-29,184.08,193.47,181.89,187.68,9535
2015-06-01,149.32,155.0,148.67,151.83,2566
2015-06-02,191.95,198.1,182.61,190.36,8181
2015-06-03,140.64,149.01,133.58,141.3,3604
2015-06-04,182.34,190.71,177.42,184.06,6095
2015-06-05,133.76,139.62,133.06,136.34,9967
2015-06-08,125.91,134.6,120.66,127.63,5922
2015-06-09,141.2,145.97,135.08,140.53,8059
2015-06-10,187.0,193.47,180.5,186.99,5812
2015-06-11,100.14,103.84,98.35,101.09,4390
2015-06-12,196.78,201.63,187.88,194.75,1043
2015-06-15,175.75,181.04,175.69,178.37,3288
2015-06-16,196.44,203.88,187.26,195.57,6729
2015-06-17,136.56,140.82,133.49,137.16,8886
2015-06-18,187.93,192.24,181.32,186.78,4944
2015-06-19,138.84,144.99,137.12,141.06,9527
2015-06-22,135.99,142.28,134.18,138.23,6432
2015-06-23,136.93,140.21,133.19,136.7,5015
2015-06-24,185.4,191.9,181.85,186.88,4781
2015-06-25,119.03,121.11,114.21,117.66,6156
2015-06-26,133.21,136.61,129.98,133.3,4489
2015-06-29,160.73,161.95,160.13,161.04,1571
2015-06-30,102.56,112.37,97.08,104.72,1571
2015-07-01,121.34,121.71,120.44,121.07,4240
2015-07-02,154.6,159.24,149.16,154.2,1831
2015-07-03,111.27,119.23,110.27,114.75,6175
2015-07-06,102.88,108.29,94.92,101.61,5958
2015-07-07,135.89,136.47,131.54,134.0,6922
2015-07-08,121.09,122.72,117.15,119.94,9059
2015-07-09,160.7,161.62,154.52,158.07,5850
2015-07-10,150.41,154.86,145.77,150.31,1301
2015-07-13,121.5,131.34,116.31,123.83,6784
2015-07-14,198.07,207.5,194.13,200.81,1182
2015-07-15,144.45,147.23,134.59,140.91,9279
2015-07-16,139.61,142.18,139.2,140.69,5282
2015-07-17,116.9,124.25,110.5,117.38,7342
2015-07-20,118.72,127.61,115.98,121.8,8094
2015-07-21,192.0,198.28,186.58,192.43,7406
2015-07-22,149.36,157.24,142.43,149.84,6108
2015-07-23,172.54,179.16,167.98,173.57,2171
2015-07-24,116.4,124.42,114.01,119.22,6272
2015-07-27,114.93,120.73,105.19,112.96,3629
2015-07-28,100.31,107.71,90.37,99.04,5547
2015-07-29,184.08,192.03,180.59,186.31,6397
2015-07-30,159.25,161.14,150.93,156.03,7831
2015-07-31,103.14,105.92,102.95,104.44,6941
2015-08-03,196.99,205.96,195.04,200.5,3582
2015-08-04,199.66,206.01,194.8,200.41,7641
2015-08-05,181.62,183.97,172.35,178.16,1842
2015-08-06,180.33,187.75,179.82,183.78,1507
2015-08-07,172.79,182.56,171.79,177.18,3772
2015-08-10,113.7,117.07,110.44,113.75,3652
2015-08-11,125.29,131.12,123.16,127.14,3848
2015-08-12,167.88,172.28,158.78,165.53,9980
2015-08-13,118.39,122.02,114.31,118.16,3346
2015-08-14,146.78,154.23,138.58,146.41,9029
2015-08-17,123.59,127.27,119.07,123.17,2129
2015-08-18,187.14,193.05,185.53,189.29,6764
2015-08-19,125.43,135.1,120.76,127.93,5371
2015-08-20,162.77,169.55,161.38,165.47,4249
2015-08-21,154.41,154.87,150.27,152.57,5421
2015-08-24,187.86,197.06,185.98,191.52,7290
2015-08-25,195.99,203.69,190.69,197.19,3440
2015-08-26,180.57,186.82,177.83,182.32,5692
2015-08-27,145.75,155.65,144.58,150.12,4714
2015-08-28,190.94,198.45,189.8,194.12,1715
2015-08-31,192.62,198.38,184.73,191.56,5383
2015-09-01,127.07,133.1,125.34,129.22,4333
2015-09-02,153.54,160.5,147.24,153.87,3579
2015-09-03,146.08,155.43,141.5,148.47,7061
2015-09-04,141.63,146.56,135.96,141.26,3299
2015-09-07,101.64,104.44,96.81,100.62,7371
2015-09-08,121.93,131.13,118.05,124.59,3439
2015-09-09,195.0,198.09,187.05,192.57,8217
2015-09-10,163.88,173.02,161.2,167.11,7926
2015-09-11,190.6,192.84,184.67,188.75,8125
2015-09-14,111.48,116.6,101.98,109.29,7113
2015-09-15,194.97,198.89,194.96,196.93,9120
2015-09-16,110.23,114.22,104.78,109.5,7250
2015-09-17,180.66,188.03,176.14,182.08,4275
2015-09-18,185.32,186.61,176.06,181.34,3896
2015-09-21,105.96,110.53,103.97,107.25,1007
2015-09-22,107.42,116.04,106.81,111.43,3308
2015-09-23,112.22,112.53,108.68,110.61,5367
2015-09-24,149.79,155.33,142.62,148.98,4081
2015-09-25,196.52,206.47,190.4,198.44,5270
2015-09-28,157.24,166.22,155.51,160.87,2706
2015-09-29,156.8,160.44,149.67,155.06,1616
2015-09-30,174.4,178.65,170.44,174.55,6555
2015-10-01,195.9,201.06,190.27,195.67,5092
2015-10-02,130.91,135.9,125.46,130.68,1921
2015-10-05,181.48,181.48,174.08,177.78,2015
2015-10-06,195.51,198.37,194.76,196.56,1251
2015-10-07,158.93,160.67,151.38,156.02,1551
2015-10-08,178.87,188.31,176.63,182.47,3002
2015-10-09,123.18,125.76,116.25,121.0,3132
2015-10-12,158.59,166.39,150.41,158.4,5862
2015-10-13,196.05,196.15,186.11,191.13,1282
2015-10-14,195.58,205.28,191.19,198.24,3544
2015-10-15,173.59,179.6,173.24,176.42,1435
2015-10-16,127.07,134.02,126.25,130.13,9509
2015-10-19,101.54,110.56,99.41,104.98,8319
2015-10-20,133.08,142.7,125.99,134.34,5388
2015-10-21,124.75,126.77,123.55,125.16,6699
2015-10-22,108.3,110.88,102.93,106.91,1697
2015-10-23,119.13,127.09,113.62,120.36,6884
2015-10-26,105.07,112.14,102.31,107.22,6854
2015-10-27,124.25,130.0,116.79,123.4,2580
2015-10-28,132.84,137.94,129.81,133.88,9826
2015-10-29,125.47,127.13,118.75,122.94,2910
2015-10-30,152.59,154.31,149.45,151.88,8149
2015-11-02,106.27,112.61,98.4,105.5,5799
2015-11-03,142.89,145.62,133.65,139.63,2985
2015-11-04,179.12,183.71,171.95,177.83,5113
2015-11-05,141.06,145.04,139.41,142.22,4637
2015-11-06,198.88,200.15,190.31,195.23,3685
2015-11-09,109.54,118.93,108.78,113.86,6616
2015-11-10,141.64,142.35,138.27,140.31,1569
2015-11-11,165.38,172.33,157.51,164.92,1477
2015-11-12,193.11,197.77,191.41,194.59,1358
2015-11-13,185.42,189.66,180.92,185.29,1969
2015-11-16,130.1,130.29,123.53,126.91,9175
2015-11-17,100.08,109.44,95.53,102.48,9912
2015-11-18,132.89,137.44,123.23,130.34,7185
2015-11-19,159.78,165.06,152.81,158.94,7085
2015-11-20,172.3,180.54,165.27,172.91,9376
2015-11-23,107.63,109.57,98.82,104.19,5700
2015-11-24,189.07,197.97,187.15,192.56,9318
2015-11-25,114.7,123.78,114.66,119.22,1194
2015-11-26,124.33,127.23,122.43,124.83,7360
2015-11-27,147.28,148.46,145.68,147.07,6664
2015-11-30,195.08,195.52,186.38,190.95,9664
2015-12-01,109.41,116.08,109.33,112.7,8017
2015-12-02,169.05,175.07,162.89,168.98,4354
2015-12-03,103.83,113.17,95.67,104.42,9191
2015-12-04,188.52,191.07,188.02,189.55,2104
2015-12-07,122.11,131.53,114.96,123.25,9914
2015-12-08,163.52,171.03,153.9,162.47,7778
2015-12-09,140.48,146.65,131.1,138.88,4564
2015-12-10,199.13,207.83,190.14,198.99,1586
2015-12-11,123.79,125.29,119.88,122.59,2928
2015-12-14,126.75,135.15,118.74,126.94,2332
2015-12-15,105.74,108.68,101.35,105.02,4416
2015-12-16,181.54,181.58,177.93,179.75,3916
2015-12-17,177.29,178.11,176.03,177.07,1582
2015-12-18,191.99,201.8,190.42,196.11,5672
2015-12-21,159.7,163.8,159.33,161.56,7274
2015-12-22,194.63,202.35,186.75,194.55,6572
2015-12-23,151.12,151.32,148.52,149.92,6316
2015-12-24,107.51,107.68,103.79,105.74,5124
2015-12-25,142.31,146.2,141.79,144.0,3462
2015-12-28,152.87,161.0,144.7,152.85,6937
2015-12-29,163.96,165.42,160.77,163.09,1362
2015-12-30,144.51,148.31,136.41,142.36,6128
2015-12-31,133.16,137.03,124.33,130.68,2976
2016-01-01,117.27,120.28,110.44,115.36,9550
2016-01-04,120.17,120.43,110.76,115.59,7638
2016-01-05,101.92,103.53,96.33,99.93,7555
2016-01-06,190.7,194.16,181.97,188.06,2953
2016-01-07,100.87,108.36,92.05,100.2,7938
2016-01-08,183.65,190.59,180.68,185.63,6338
2016-01-11,145.8,147.21,144.11,145.66,9830
2016-01-12,154.7,164.6,148.73,156.66,3064
2016-01-13,127.15,130.2,118.12,124.16,3292
2016-01-14,138.47,146.71,134.26,140.49,4300
2016-01-15,169.39,174.54,167.01,170.77,5141
2016-01-18,153.8,154.03,145.14,149.58,6994
2016-01-19,192.32,193.44,191.99,192.72,6713
2016-01-20,156.21,159.37,148.54,153.95,7038
2016-01-21,180.38,186.53,179.29,182.91,3284
2016-01-22,112.14,113.91,105.96,109.94,2526
2016-01-25,125.96,127.8,123.28,125.54,4376
2016-01-26,153.98,155.6,153.56,154.58,7211
2016-01-27,190.81,196.97,187.11,192.04,3771
2016-01-28,130.37,139.41,125.05,132.23,2736
2016-01-29,136.6,140.39,136.03,138.21,8181
2016-02-01,110.65,117.73,101.41,109.57,9613
2016-02-02,124.81,127.64,119.2,123.42,4255
2016-02-03,190.4,197.55,180.92,189.24,9259
2016-02-04,138.42,147.93,137.55,142.74,7573
2016-02-05,182.66,185.28,181.18,183.23,1517
2016-02-08,180.3,189.47,174.28,181.88,4677
2016-02-09,157.39,164.65,147.88,156.26,6865
2016-02-10,131.18,131.99,122.6,127.3,2081
2016-02-11,172.24,178.72,170.15,174.44,6930
2016-02-12,172.58,181.54,170.81,176.18,5253
2016-02-15,141.08,143.0,140.31,141.66,9998
2016-02-16,118.52,119.77,115.97,117.87,8181
2016-02-17,173.57,182.68,166.52,174.6,8780
2016-02-18,135.06,139.4,130.5,134.95,9010
2016-02-19,142.18,147.45,135.26,141.35,3397
2016-02-22,116.57,123.72,109.92,116.82,1323
2016-02-23,156.91,159.49,147.07,153.28,3941
2016-02-24,124.22,130.19,119.22,124.7,4265
2016-02-25,140.07,149.87,135.46,142.67,6710
2016-02-26,142.95,147.35,133.41,140.38,6129
2016-02-29,188.25,194.36,178.46,186.41,7770
2016-03-01,177.01,177.67,175.72,176.69,4196
2016-03-02,117.62,121.45,112.86,117.16,8844
2016-03-03,145.51,154.51,139.58,147.05,4270
2016-03-04,137.17,138.46,132.02,135.24,7661
2016-03-07,119.28,123.98,115.73,119.86,9268
2016-03-08,108.56,114.75,107.71,111.23,9814
2016-03-09,199.4,208.43,196.12,202.28,2423
2016-03-10,193.85,201.59,184.78,193.19,4324
2016-03-11,188.82,198.46,181.0,189.73,9739
2016-03-14,146.11,150.93,141.73,146.33,2271
2016-03-15,185.38,193.53,183.81,188.67,6094
2016-03-16,178.49,184.7,177.77,181.24,3832
2016-03-17,138.43,144.16,130.09,137.12,1089
2016-03-18,144.06,147.43,134.93,141.18,1279
2016-03-21,179.94,180.39,175.6,178.0,9976
2016-03-22,146.57,151.27,144.16,147.72,5416
2016-03-23,162.85,172.68,157.12,164.9,7229
2016-03-24,187.72,189.59,181.65,185.62,9485
2016-03-25,173.48,174.36,167.94,171.15,7339
2016-03-28,109.11,111.9,106.27,109.09,3908
2016-03-29,141.7,147.9,132.14,140.02,1382
2016-03-30,110.16,112.13,102.24,107.19,1858
2016-03-31,194.69,197.74,191.4,194.57,4858
2016-04-01,198.25,208.08,189.12,198.6,4236
2016-04-04,157.44,160.47,154.1,157.28,2384
2016-04-05,190.47,198.28,185.03,191.66,3516
2016-04-06,104.81,114.36,97.91,106.13,2999
2016-04-07,111.2,116.06,103.33,109.69,9925
2016-04-08,197.9,207.68,194.57,201.12,1037
2016-04-11,190.52,196.25,186.82,191.53,4782
2016-04-12,167.97,175.62,161.08,168.35,7617
2016-04-13,186.11,195.85,184.06,189.95,1033
2016-04-14,191.95,200.46,182.3,191.38,6383
2016-04-15,132.96,137.82,124.65,131.24,3998
2016-04-18,188.31,192.4,187.2,189.8,8415
2016-04-19,166.12,169.17,157.97,163.57,4941
2016-04-20,183.98,184.28,180.68,182.48,9856
2016-04-21,153.69,160.41,151.14,155.77,8035
2016-04-22,194.38,202.14,186.51,194.32,3031
2016-04-25,187.2,193.75,181.5,187.62,1265
2016-04-26,180.4,181.43,177.66,179.55,8446
2016-04-27,123.58,133.36,122.62,127.99,3367
2016-04-28,175.39,176.03,172.1,174.06,1590
2016-04-29,115.66,118.57,114.17,116.37,4880
2016-05-02,174.77,184.66,170.02,177.34,4634
2016-05-03,116.19,117.98,111.33,114.66,7375
2016-05-04,158.33,167.13,150.69,158.91,5692
2016-05-05,121.85,123.21,116.97,120.09,1444
2016-05-06,104.1,110.8,101.37,106.09,9940
2016-05-09,177.44,186.13,167.89,177.01,4713
2016-05-10,102.53,104.35,96.21,100.28,4359
2016-05-11,164.7,165.98,162.56,164.27,1093
2016-05-12,144.86,151.06,143.84,147.45,3443
2016-05-13,129.25,132.64,119.27,125.95,5306
2016-05-16,120.48,128.98,116.81,122.89,7820
2016-05-17,185.95,191.92,176.74,184.33,6581
2016-05-18,168.59,174.49,160.51,167.5,9980
2016-05-19,172.18,174.1,167.13,170.62,2499
2016-05-20,173.84,176.25,167.97,172.11,6189
2016-05-23,185.18,190.72,182.49,186.61,5409
2016-05-24,175.76,178.59,169.31,173.95,5709
2016-05-25,147.96,155.49,145.03,150.26,4925
2016-05-26,119.53,128.74,113.82,121.28,3053
2016-05-27,116.17,124.03,107.67,115.85,2312
2016-05-30,182.74,189.08,176.76,182.92,1335
2016-05-31,191.58,195.19,181.74,188.47,2456
2016-06-01,115.51,119.49,115.36,117.42,9292
2016-06-02,143.75,145.14,139.53,142.33,2737
2016-06-03,136.79,145.37,135.03,140.2,1423
2016-06-06,197.42,202.41,194.06,198.24,1499
2016-06-07,197.79,197.93,194.67,196.3,3978
2016-06-08,195.11,204.41,185.13,194.77,5451
2016-06-09,116.44,116.65,110.45,113.55,3254
2016-06-10,116.79,119.61,114.07,116.84,1646
2016-06-13,185.92,189.63,179.92,184.77,5655
2016-06-14,182.81,188.12,173.38,180.75,2629
2016-06-15,196.12,197.98,187.97,192.97,3508
2016-06-16,150.04,157.88,147.86,152.87,7161
2016-06-17,174.08,178.38,168.38,173.38,5904
2016-06-20,189.77,192.58,184.54,188.56,7878
2016-06-21,167.43,173.13,158.22,165.68,1041
2016-06-22,141.56,145.27,134.05,139.66,1833
2016-06-23,157.26,163.64,152.3,157.97,5564
2016-06-24,153.04,155.34,152.5,153.92,3222
2016-06-27,161.77,163.39,155.33,159.36,3623
2016-06-28,165.91,173.86,164.19,169.03,5755
2016-06-29,171.43,172.6,166.76,169.68,8720
2016-06-30,108.84,110.22,99.5,104.86,9033
2016-07-01,125.69,129.61,121.56,125.59,4100
2016-07-04,132.84,134.12,132.06,133.09,4569
2016-07-05,127.41,127.76,121.05,124.41,7917
2016-07-06,186.92,189.48,183.57,186.52,6850
2016-07-07,122.27,125.15,121.49,123.32,5901
2016-07-08,130.5,131.81,125.8,128.81,2269
2016-07-11,194.98,199.95,187.22,193.58,5504
2016-07-12,123.16,125.28,120.87,123.08,7392
2016-07-13,143.3,143.79,141.66,142.72,3364
2016-07-14,110.29,110.51,108.95,109.73,6017
2016-07-15,142.44,144.15,136.52,140.34,2157
2016-07-18,143.4,151.25,138.39,144.82,9431
2016-07-19,132.36,136.33,128.82,132.57,3711
2016-07-20,175.09,179.09,169.73,174.41,5538
2016-07-21,141.72,150.86,133.25,142.06,3352
2016-07-22,170.6,178.19,161.42,169.81,9263
2016-07-25,139.18,148.84,134.98,141.91,4910
2016-07-26,144.74,147.66,137.91,142.78,2141
2016-07-27,122.89,128.87,118.52,123.69,3001
2016-07-28,120.21,129.6,111.83,120.72,3300
2016-07-29,104.65,105.41,99.87,102.64,8449
2016-08-01,168.0,173.18,165.42,169.3,2619
2016-08-02,186.75,195.42,178.46,186.94,5527
2016-08-03,136.04,140.76,135.57,138.16,9780
2016-08-04,134.37,137.13,132.12,134.62,1582
2016-08-05,147.01,151.77,141.56,146.67,2357
2016-08-08,193.56,203.29,187.13,195.21,2954
2016-08-09,123.07,126.67,122.38,124.53,4275
2016-08-10,110.79,112.59,105.52,109.06,4223
2016-08-11,104.94,113.12,104.08,108.6,8668
2016-08-12,106.41,111.72,101.41,106.56,1401
2016-08-15,195.66,198.73,193.43,196.08,7265
2016-08-16,145.27,147.82,141.48,144.65,3900
2016-08-17,112.82,118.36,104.4,111.38,6129
2016-08-18,109.28,113.84,102.02,107.93,4324
2016-08-19,132.6,141.01,127.61,134.31,4632
2016-08-22,194.87,200.1,187.05,193.57,2664
2016-08-23,108.19,110.52,104.54,107.53,2412
2016-08-24,147.03,156.98,138.78,147.88,8516
2016-08-25,198.29,204.31,193.86,199.09,4934
2016-08-26,130.81,131.95,126.42,129.19,4767
2016-08-29,199.39,199.42,195.39,197.4,6677
2016-08-30,122.01,124.09,118.17,121.13,3836
2016-08-31,168.69,169.17,160.86,165.01,3193
2016-09-01,106.43,112.67,102.92,107.8,9575
2016-09-02,158.23,165.84,156.56,161.2,8699
2016-09-05,129.12,137.19,121.66,129.43,8260
2016-09-06,110.49,113.76,101.71,107.73,2095
2016-09-07,179.13,180.75,176.81,178.78,9239
2016-09-08,138.72,139.28,136.19,137.74,7944
2016-09-09,192.13,193.59,188.27,190.93,5521
2016-09-12,162.13,172.09,153.82,162.95,7050
2016-09-13,124.76,128.14,121.6,124.87,9405
2016-09-14,131.28,139.28,129.0,134.14,9991
2016-09-15,181.01,186.58,172.49,179.54,2497
2016-09-16,120.87,123.61,114.36,118.98,6995
2016-09-19,163.85,170.74,161.66,166.2,7042
2016-09-20,144.82,153.85,142.68,148.26,4645
2016-09-21,151.29,155.93,145.91,150.92,9512
2016-09-22,111.54,116.45,106.32,111.38,1585
2016-09-23,199.16,207.98,189.59,198.78,1923
2016-09-26,148.04,154.59,147.77,151.18,6204
2016-09-27,175.34,182.56,170.85,176.7,2479
2016-09-28,187.87,188.37,182.46,185.42,8567
2016-09-29,116.0,117.22,106.65,111.94,4004
2016-09-30,193.43,193.98,191.54,192.76,9978
2016-10-03,154.44,156.48,153.18,154.83,3975
2016-10-04,133.02,134.98,131.44,133.21,6201
2016-10-05,124.92,126.3,122.81,124.56,4475
2016-10-06,183.12,186.5,181.27,183.88,3994
2016-10-07,139.91,149.5,138.99,144.25,2776
2016-10-10,174.3,174.99,169.03,172.01,2003
2016-10-11,153.8,161.34,153.53,157.44,1940
2016-10-12,108.84,111.12,107.37,109.25,7381
2016-10-13,155.47,160.38,148.95,154.66,3283
2016-10-14,129.84,135.51,120.65,128.08,8909
2016-10-17,158.26,160.94,149.02,154.98,1998
2016-10-18,105.57,107.11,105.32,106.22,6339
2016-10-19,181.98,185.78,177.13,181.45,9233
2016-10-20,192.1,200.85,187.54,194.19,5503
2016-10-21,185.76,188.4,179.12,183.76,3874
2016-10-24,159.04,168.41,149.42,158.91,6045
2016-10-25,133.77,143.67,128.11,135.89,8104
2016-10-26,152.78,162.13,143.72,152.93,2304
2016-10-27,189.57,195.74,181.43,188.59,8826
2016-10-28,198.11,198.93,190.13,194.53,5067
2016-10-31,134.99,136.2,134.84,135.52,3647
2016-11-01,145.72,153.17,142.24,147.7,7180
2016-11-02,165.02,167.53,157.6,162.56,7212
2016-11-03,179.11,185.93,173.53,179.73,6326
2016-11-04,152.91,154.11,146.4,150.25,1977
2016-11-07,148.77,149.93,143.06,146.5,8797
2016-11-08,108.77,117.99,106.39,112.19,2353
2016-11-09,155.69,160.17,154.12,157.14,3527
2016-11-10,121.02,129.32,114.78,122.05,8742
2016-11-11,169.38,174.74,163.51,169.12,4054
2016-11-14,147.62,148.62,140.59,144.61,4838
2016-11-15,178.56,183.56,173.87,178.72,4900
2016-11-16,101.02,107.02,97.83,102.42,1178
2016-11-17,190.98,200.43,185.03,192.73,7721
2016-11-18,132.92,136.22,130.58,133.4,7858
2016-11-21,134.72,135.61,125.64,130.62,4241
2016-11-22,118.42,125.19,117.55,121.37,5014
2016-11-23,113.04,116.79,107.1,111.94,1971
2016-11-24,191.01,194.35,190.05,192.2,4256
2016-11-25,162.14,163.87,156.32,160.09,1710
2016-11-28,125.02,134.8,116.58,125.69,9662
2016-11-29,170.23,174.91,164.97,169.94,3707
2016-11-30,102.45,104.47,95.98,100.22,3897
2016-12-01,123.8,126.04,120.44,123.24,3825
2016-12-02,117.44,121.47,112.66,117.06,2641
2016-12-05,169.15,176.68,165.57,171.12,4846
